Severe chest pain lasting more than 15 minutes
Chest pain radiating to left arm, jaw, or back
Shortness of breath at rest
Oxygen saturation below 92 percent
Uncontrolled bleeding for more than 10 minutes
New confusion or altered mental status
Persistent vomiting with signs of dehydration
Fever above 39.5C with neck stiffness
Sudden one-sided weakness or facial droop
Loss of consciousness or seizure activity
Known severe allergy with swelling of lips or tongue
Pregnancy with abdominal pain and vaginal bleeding
Urine with visible blood and severe flank pain
Severe abdominal pain with rigid abdomen
Post-trauma head injury with repeated vomiting
Pain score 8 to 10 not responding to OTC medication
Symptoms worsening continuously over 24 hours
Unable to keep fluids down for more than 8 hours
